PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,PAYMENTS,PURCHASES,BALANCE
0.166667,0.0,0.083333,0.0,0.003978631353655269,0.0019453677917648953,0.002147794538759056
0.0,0.0,0.0,0.16666666666666666,0.08089338728282808,0.0,0.16816909701674723
1.0,1.0,0.0,0.0,0.012264364146940043,0.015766247542545745,0.13102613595644605
0.083333,0.083333,0.0,0.05555533333333333,0.0,0.030567152199744003,0.08752079058547796
0.083333,0.083333,0.0,0.0,0.013373716974826266,0.00032626713488719417,0.042940103199039056
0.666667,0.0,0.583333,0.0,0.027602855383052818,0.02718784035014989,0.09503836488390284
1.0,1.0,1.0,0.0,0.1252785586513651,0.14459771975977767,0.03293894039701826
1.0,0.0,1.0,0.0,0.013388115587635288,0.008894857764862131,0.09576429522130202
0.333333,0.083333,0.25,0.0,0.013569764178915762,0.017567242127123055,0.05329617645758494
0.166667,0.166667,0.0,0.0,0.022964048246241982,0.02613399750446425,0.007993744020733525
1.0,0.0,1.0,0.0,0.021357833707488005,0.018762807259525317,0.06790503229946566
0.25,0.25,0.0,0.0,0.013911632315478872,0.03042808083349834,0.03312451579410238
1.0,0.25,0.916667,0.0,0.011992229893648758,0.06562027358722762,0.07965749003088701
0.75,0.166667,0.75,0.0,0.03264674700554735,0.04359601848058619,0.04840028685901659
0.0,0.0,0.0,0.05555533333333333,0.015883762079311553,0.0,0.1456048185157983
0.5,0.0,0.5,0.11111133333333334,0.039301675442955736,0.03286529633110568,0.36161125485188933
0.0,0.0,0.0,0.16666666666666666,0.007727979073835982,0.0,0.1088094983645385
0.416667,0.0,0.333333,0.0,0.005019385182271215,0.010583290187903362,0.0021577057201226397
0.666667,0.083333,0.583333,0.0,0.03392718940781388,0.010284551842522274,0.1044508614865637
1.0,0.0,1.0,0.0,0.02077976419812656,0.008128945665714442,0.1878876699724019
0.666667,0.0,0.666667,0.0,0.004397911599247834,0.003602804836991842,0.10590085660753604
1.0,0.916667,1.0,0.22222199999999998,0.040968026038424595,0.12969016653286317,0.3344790722354541
1.0,0.0,1.0,0.0,0.04652131210856606,0.016637584709653857,0.0069496023243765135
1.0,0.083333,0.916667,0.22222199999999998,0.18688420002864836,0.08663106140612571,0.1995548877106947
0.0,0.0,0.0,0.242424,0.028049785076317217,0.0,0.2819163029290063
1.0,0.0,1.0,0.0,0.00424487076751771,0.008148521693807675,0.008915635333170626
0.166667,0.166667,0.0,0.16666666666666666,0.017550331457814053,0.002079952984905863,0.08485824093063786
1.0,0.0,1.0,0.0,0.004096365114665684,0.004756974826655291,0.006600530506248651
0.666667,0.166667,0.416667,0.5555553333333333,0.0315733736656238,0.007892605909880532,0.3756137334958298
0.416667,0.0,0.416667,0.0,0.0031696189139212906,0.0020391695930449634,0.001158605758734762
1.0,0.166667,1.0,0.3333333333333333,0.08340299239623815,0.061950176153665305,0.6373014575177256
1.0,0.083333,1.0,0.11111133333333334,0.012736187039621311,0.02748209252242628,0.06103370620016116
0.083333,0.083333,0.0,0.11111133333333334,0.03391302387178449,0.006626281592599609,0.3535563763707657
0.916667,0.916667,0.0,0.0,0.008348527447325034,0.012985228051551024,0.006598725971775948
1.0,0.0,1.0,0.0,0.1722269787142913,0.011159967348816476,0.18469127895690743
0.0,0.0,0.0,0.05555533333333333,0.00693000629546257,0.0,0.08697887566071463
0.0,0.0,0.0,0.4848486666666666,0.03226170633429203,0.0,0.39001328051041606
0.75,0.5,0.75,0.22222199999999998,0.031897616331858,0.04854345174723188,0.2125427389632983
0.083333,0.083333,0.0,0.22222199999999998,0.02439028946017796,0.004159905969811726,0.32922189397754403
0.083333,0.083333,0.0,0.22222199999999998,0.39571152321283376,0.01964209718804631,0.07412655353803192
0.0,0.0,0.0,0.16666666666666666,0.06046861461505964,0.0,0.03483920509792268
0.583333,0.416667,0.333333,0.16666666666666666,0.024887081023254997,0.031129759090465108,0.041216407659221486
0.083333,0.083333,0.0,0.0,0.01711849136661369,0.0041562354645442445,0.21554801930717035
0.0,0.0,0.0,0.05555533333333333,0.007458264268712822,0.0,0.07145578302193481
1.0,0.333333,1.0,0.0,0.02819991463672367,0.031106308640145092,0.27915280757165273
0.333333,0.083333,0.333333,0.11111133333333334,0.0,0.008911171121606491,0.1177490611085487
0.375,0.0,0.25,0.08333333333333333,0.003470186464199654,0.0022377847114075427,0.024914335812090002
0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2053291386123276
1.0,0.666667,1.0,0.0,0.05015534622566291,0.0487483882913329,0.012070866274261884
0.166667,0.166667,0.0,0.05555533333333333,0.011590087908659301,0.010348785684703191,0.0453606862271342
0.625,0.375,0.25,0.5833333333333333,0.15995780897051431,0.01838148254562591,0.2589558355342871
0.666667,0.583333,0.5,0.0,0.02759833205319727,0.0633743321974479,0.056654976363308046
0.0,0.0,0.0,0.16666666666666666,0.013639689401228899,0.0,0.08221759738117455
0.666667,0.666667,0.0,0.074074,0.06131628130680127,0.04035965241946453,0.024401132961141464
0.666667,0.0,0.666667,0.0,0.008221698881323885,0.006321425738439387,0.000349759414868218
0.25,0.25,0.0,0.0,0.0,0.026180898405104288,0.06889599526182306
0.25,0.25,0.0,0.27777799999999997,0.0,0.006388106584131957,0.19036873226426812
0.916667,0.916667,0.5,0.0,0.11195906028013294,0.10639612052063263,0.12531183457397477
0.0,0.0,0.0,0.121212,0.015081158462397144,0.0,0.2085338376595838
0.416667,0.0,0.333333,0.22222199999999998,0.04161071173767028,0.004669698368072967,0.28849782522403705
0.166667,0.166667,0.0,0.0,0.06919526655184163,0.002304261640140809,0.09867669801799732
0.083333,0.083333,0.0,0.0,0.006665492383186484,0.001349930270595766,0.0816983868545669
0.0,0.0,0.0,0.36363666666666666,0.08619914794226949,0.0,0.042513106515988094
0.083333,0.083333,0.0,0.0,0.0,0.017129024581577695,0.000375587037686292
1.0,0.0,1.0,0.05555533333333333,0.07271171412365413,0.03849218090615395,0.10102782159245079
0.583333,0.333333,0.166667,0.0,0.015327857083397413,0.008408107983002297,0.09231986531321024
0.0,0.0,0.0,0.08333333333333333,0.0028799388212529596,0.0,0.042526994825374
0.0,0.0,0.0,0.27777799999999997,0.01064681450988227,0.0,0.08277548493560928
0.666667,0.083333,0.583333,0.0,0.13558034484502504,0.005373211877673479,0.2095517798406441
0.333333,0.333333,0.0,0.0,0.032014370251651096,0.027807951823394864,0.08924135486624324
0.916667,0.0,0.833333,0.22222199999999998,0.025397816145414878,0.008546159764451442,0.2881711807488944
0.666667,0.5,0.583333,0.5555553333333333,0.5566220187137682,0.09223714645132493,0.15703410320614714
0.0,0.0,0.0,0.08333333333333333,0.01795014508029956,0.0,0.03444878626141762
0.5,0.1,0.4,0.0,0.017527433330175382,0.014557631724747994,0.09499339687627627
0.272727,0.090909,0.181818,0.0,0.025732238442957082,0.016148999675160286,0.02795413767130622
0.833333,0.166667,0.75,0.0,0.039234755495526186,0.011457482192441738,0.30774515479868464
1.0,1.0,0.0,0.0,0.05835634819651694,0.01235961082040483,0.0907223587937807
0.75,0.0,0.666667,0.0,0.028368858197367987,0.0065253426977438835,0.030394657749105828
0.0,0.0,0.0,0.05555533333333333,0.0005772439814544099,0.0,0.06331501890831172
0.583333,0.583333,0.0,0.27777799999999997,0.032029487435716035,0.007925436540328555,0.34625703232818367
0.666667,0.166667,0.583333,0.0,0.007054251143651883,0.004992906748570594,0.0009114864624500217
0.0,0.0,0.0,0.11111133333333334,0.0022982181371282357,0.0,0.004284205082210986
0.416667,0.166667,0.25,0.0,0.004141310901913654,0.0027131151435463245,0.00019882804444605164
0.5,0.0,0.416667,0.0,0.014305697427063575,0.008075111588458056,0.002229907106237009
1.0,1.0,0.333333,0.05555533333333333,0.09702135211764831,0.10023742051571824,0.10163043659542643
1.0,1.0,0.0,0.0,0.025141800900201433,0.025444758182015054,0.007084819635949759
1.0,0.833333,1.0,0.5,0.09049171264221481,0.03270379409933652,0.37125972505658233
1.0,0.75,1.0,0.5,0.05957191402613585,0.04604465332791459,0.4296167412332267
0.083333,0.083333,0.0,0.05555533333333333,0.021171401423304113,0.0009176263168702336,0.2120084168520591
0.0,0.0,0.0,0.27777799999999997,0.029616752734496526,0.0,0.3208644018814512
1.0,0.25,0.916667,0.05555533333333333,0.12636650035465366,0.10399907666400827,0.49263177203915703
0.909091,0.090909,0.818182,0.36363666666666666,0.060258982417899065,0.021045045868061243,0.10381729270996809
0.083333,0.083333,0.0,0.05555533333333333,0.00869139484488452,0.0009308809192250259,0.06939381740233476
0.166667,0.166667,0.0,0.0,0.0,0.008270871869390373,0.06867133990963305
0.25,0.25,0.0,0.0,0.0,0.004350364409802125,0.1223267772095652
0.0,0.0,0.0,0.05555533333333333,0.002993280971741675,0.0,0.05985268018760874
0.666667,0.666667,0.0,0.0,0.00822390246435411,0.01507843563881168,0.08506768476718998
0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.18409104675442745
0.25,0.0,0.166667,0.0,0.004294436668068297,0.0016109439785055213,0.00024723030739739576
0.0,0.0,0.0,0.095238,0.002721163082325122,0.0,0.0
0.111111,0.111111,0.0,0.0,0.0005222228776709815,0.0004078339186089927,0.0002560441906483718
1.0,0.0,1.0,0.0,0.014040384977416007,0.027452932397245736,0.0012284955511031057
0.916667,0.916667,0.833333,0.0,0.1808462166000817,0.05758207096840368,0.18588332489662882
1.0,0.0,1.0,0.0,0.0,0.007951945745038139,3.278031076826866e-05
0.0,0.0,0.0,0.05555533333333333,0.044101436054688754,0.0,0.045269448483181124
0.25,0.25,0.0,0.22222199999999998,0.01050327521414981,0.016476490311803305,0.12821116557584927
1.0,0.0,1.0,0.0,0.021643480183896578,0.019201636555948594,0.021459506987906937
0.0,0.0,0.0,0.38888866666666666,0.024477557471812867,0.0,0.2618476354771637
0.666667,0.166667,0.5,0.05555533333333333,0.011376843396009072,0.00863996156573151,0.06546318791265467
1.0,0.916667,1.0,0.38888866666666666,0.21406990668894346,0.0913293081485013,0.3489026575144555
0.916667,0.333333,0.833333,0.0,0.016935164847276658,0.027627893148328992,0.008203309160819341
0.0,0.0,0.0,0.05555533333333333,0.0,0.0,0.17819285541132984
1.0,0.25,1.0,0.22222199999999998,0.029759051530231114,0.05734552729561046,0.2795229408864838
0.0,0.0,0.0,0.16666666666666666,0.025191845651100844,0.0,0.3391542874957688
